"Sociedad","Periodo","Ejercicio","NªDocumento SAP","Division","Fecha Contable","Tip.Document","Tip.Comproba","  Numero Factura","Cod.Proveedor SAP","Nombre Proveedor","Pais Provee","      CUIT"," Importe Factura"," Percepción IIBB","Total Otros Impues"," Tasa IVA","   Importe IVA","Exento 7 No Imponi","Importe Percepción","Importe Ret. IVA T","Moneda"
"  AR01","6","2022","1100006814","5435","2010","     FA","     A","73","33994","THYSSENKRUPP ELEVADORES S.A. A","    AR","30683076755","50792","416","416","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006815","5430","2010","     FA","     A","74","33994","THYSSENKRUPP ELEVADORES S.A. A","    AR","30683076755","11840","97","97","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006816","160","2010","     FA","     A","75","33994","THYSSENKRUPP ELEVADORES S.A. A","    AR","30683076755","50792","416","416","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006817","163","2010","     FA","     A","76","33994","THYSSENKRUPP ELEVADORES S.A. A","    AR","30683076755","68896","565","565","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006829","9509","2010","     FA","     A","77","71448","CENTRO DE DISTRIBUCION SUR SRL","    AR","30709531960","12196","100","100","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006830","161","2010","     FA","     A","78","71448","CENTRO DE DISTRIBUCION SUR SRL","    AR","30709531960","38171","313","313","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006889","5433","2010","     FA","     A","79","50353","WINE CO SA","    AR","30715311913","19046","156","156","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006890","162","2010","     FA","     A","80","33979","PASTA FACTORY S.A.","    AR","30661070559","3883","94","94","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006891","5430","2010","     FA","     A","81","33979","PASTA FACTORY S.A.","    AR","30661070559","2720","66","66","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006892","5433","2010","     FA","     A","82","33987","SERVIFRIO S.A.","    AR","30699661054","33642","280","280","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006893","160","2010","     FA","     A","83","33996","ICEDREAM SRL","    AR","30657813865","54534","1,104.00","1,104.00","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006894","160","2010","     FA","     A","84","33987","SERVIFRIO S.A.","    AR","30699661054","12570","103","103","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006895","160","2010","     FA","     A","85","33987","SERVIFRIO S.A.","    AR","30699661054","5188","43","43","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006896","160","2010","     FA","     A","86","33987","SERVIFRIO S.A.","    AR","30699661054","10423","90","90","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006897","160","2010","     FA","     A","87","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","10267","84","84","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006898","160","2010","     FA","     A","88","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","11190","92","92","0","0","-0.01","0","0"," ARS"
"  AR01","6","2022","1100006899","160","2010","     FA","     A","89","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","6518","53","53","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006906","5433","2010","     FA","     A","90","33996","ICEDREAM SRL","    AR","30657813865","54054","1,308.00","1,308.00","0","0","-0.01","0","0"," ARS"
"  AR01","6","2022","1100006907","5433","2010","     FA","     A","91","33996","ICEDREAM SRL","    AR","30657813865","22334","452","452","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007028","5435","2010","     FA","     A","92","33976","EL FUNDADOR S.A.","    AR","30501117230","12961","106","106","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007029","5435","2010","     FA","     A","93","34098","AGUAS DANONE DE ARGENTINA S.A.","    AR","30517050225","0","1,049.00","1,049.00","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007030","5435","2010","     FA","     A","94","33961","DANIEL A .CHOZAS SACIF","    AR","30530976757","12050","99","99","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007031","5435","2010","     FA","     A","95","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","18554","152","152","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007032","5435","2010","     FA","     A","96","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","6482","53","53","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007033","5435","2010","     FA","     A","97","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","9660","79","79","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007034","5435","2010","     FA","     A","98","33996","ICEDREAM SRL","    AR","30657813865","20976","425","425","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007036","5435","2010","     FA","     A","99","33987","SERVIFRIO S.A.","    AR","30699661054","37358","309","309","0","0","0.01","0","0"," ARS"
"  AR01","6","2022","1100007037","5435","2010","     FA","     A","100","33987","SERVIFRIO S.A.","    AR","30699661054","32364","269","269","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007039","5435","2010","     FA","     A","101","33996","ICEDREAM SRL","    AR","30657813865","41046","993","993","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007040","5435","2010","     FA","     A","102","33996","ICEDREAM SRL","    AR","30657813865","42723","865","865","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007051","5430","2010","     FA","     A","103","33987","SERVIFRIO S.A.","    AR","30699661054","23852","198","198","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007052","5430","2010","     FA","     A","104","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","9844","84","84","0","0","-0.01","0","0"," ARS"
"  AR01","6","2022","1100007053","5430","2010","     FA","     A","105","33987","SERVIFRIO S.A.","    AR","30699661054","6993","57","57","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007054","5430","2010","     FA","     A","106","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","13188","108","108","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007055","5430","2010","     FA","     A","107","33987","SERVIFRIO S.A.","    AR","30699661054","15555","128","128","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007056","5430","2010","     FA","     A","108","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","19641","164","164","0","0","0.01","0","0"," ARS"
"  AR01","6","2022","1100007057","5430","2010","     FA","     A","109","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","5089","43","43","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007058","5430","2010","     FA","     A","110","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","6681","55","55","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007060","5430","2010","     FA","     A","111","33997","TODOACEITE S.A","    AR","30609267352","29280","240","240","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007062","5430","2010","     FA","     A","112","33996","ICEDREAM SRL","    AR","30657813865","20874","423","423","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007063","5430","2010","     FA","     A","113","33996","ICEDREAM SRL","    AR","30657813865","2137","52","52","0","0","-0.01","0","0"," ARS"
"  AR01","6","2022","1100007067","160","2010","     FA","     A","114","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","1810","15","15","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007068","160","2010","     FA","     A","115","33987","SERVIFRIO S.A.","    AR","30699661054","13441","110","110","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007069","160","2010","     FA","     A","116","33987","SERVIFRIO S.A.","    AR","30699661054","14993","123","123","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007070","160","2010","     FA","     A","117","33987","SERVIFRIO S.A.","    AR","30699661054","5679","47","47","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007074","161","2010","     FA","     A","118","41508","T.C.L. S.A.","    AR","30709787574","11956","98","98","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007075","162","2010","     FA","     A","119","41508","T.C.L. S.A.","    AR","30709787574","11956","98","98","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007077","5435","2010","     FA","     A","120","33957","COCA COLA FEMSA DE BS AS S.A.","    AR","30525390086","15898","381","381","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007079","162","2010","     FA","     A","121","34009","NESTLE ARGENTINA S.A.","    AR","30546764040","6755","6","6","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007083","163","2010","     FA","     A","122","73354","RANDSTAD ARGENTINA S A","    AR","30700480239","611541","3,767.00","3,767.00","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007084","9509","2010","     FA","     A","123","34012","TTS VIAJES S.A.","    AR","30521151818","16358","158","158","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007085","9509","2010","     FA","     A","124","34012","TTS VIAJES S.A.","    AR","30521151818","24843","223","223","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007086","9509","2010","     FA","     A","125","34012","TTS VIAJES S.A.","    AR","30521151818","16850","152","152","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007094","160","2010","     FA","     A","126","41508","T.C.L. S.A.","    AR","30709787574","11956","98","98","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007095","9509","2010","     FA","     A","127","34012","TTS VIAJES S.A.","    AR","30521151818","24843","223","223","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007096","161","2010","     FA","     A","128","33987","SERVIFRIO S.A.","    AR","30699661054","42325","351","351","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007116","9509","2010","     FA","     A","129","34012","TTS VIAJES S.A.","    AR","30521151818","116952","1,152.00","1,152.00","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007142","5433","2010","     FA","     A","130","33979","PASTA FACTORY S.A.","    AR","30661070559","4710","114","114","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007143","5433","2010","     FA","     A","131","33979","PASTA FACTORY S.A.","    AR","30661070559","11242","272","272","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007144","5435","2010","     FA","     A","132","33979","PASTA FACTORY S.A.","    AR","30661070559","5483","133","133","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007145","5435","2010","     FA","     A","133","33979","PASTA FACTORY S.A.","    AR","30661070559","9103","220","220","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007146","5430","2010","     FA","     A","134","33979","PASTA FACTORY S.A.","    AR","30661070559","9502","230","230","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007147","160","2010","     FA","     A","135","33979","PASTA FACTORY S.A.","    AR","30661070559","4010","97","97","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007170","160","2010","     FA","     A","136","34001","VERONICA S.A.","    AR","30500979824","0","733","733","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007171","5433","2010","     FA","     A","137","34001","VERONICA S.A.","    AR","30500979824","0","950","950","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007172","161","2010","     FA","     A","138","34001","VERONICA S.A.","    AR","30500979824","0","566","566","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007173","5430","2010","     FA","     A","139","34001","VERONICA S.A.","    AR","30500979824","0","1,277.00","1,277.00","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007175","162","2010","     FA","     A","140","34001","VERONICA S.A.","    AR","30500979824","0","649","649","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007176","5430","2010","     FA","     A","141","34001","VERONICA S.A.","    AR","30500979824","0","1,360.00","1,360.00","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007177","162","2010","     FA","     A","142","34001","VERONICA S.A.","    AR","30500979824","0","520","520","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007178","5435","2010","     FA","     A","143","71448","CENTRO DE DISTRIBUCION SUR SRL","    AR","30709531960","18844","154","154","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007179","160","2010","     FA","     A","144","34001","VERONICA S.A.","    AR","30500979824","25891","612","612","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007180","5433","2010","     FA","     A","145","34001","VERONICA S.A.","    AR","30500979824","0","747","747","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007181","5435","2010","     FA","     A","146","34001","VERONICA S.A.","    AR","30500979824","0","1,139.00","1,139.00","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007188","5435","2010","     FA","     A","147","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","5238","32","32","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007193","5433","2010","     FA","     A","148","33957","COCA COLA FEMSA DE BS AS S.A.","    AR","30525390086","76239","1,822.00","1,822.00","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007194","161","2010","     FA","     A","149","40240","MAILCAR SRL","    AR","30705463367","45904","404","404","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007209","160","2010","     FA","     A","150","33525","CERVECERIA Y MALT.QUILMES S.A.","    AR","33508358259","17087","411","411","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007210","160","2010","     FA","     A","151","33961","DANIEL A .CHOZAS SACIF","    AR","30530976757","10383","85","85","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007211","160","2010","     FA","     A","152","34098","AGUAS DANONE DE ARGENTINA S.A.","    AR","30517050225","0","97","97","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007231","163","2010","     FA","     A","153","33991","TAMALLANCOS S.A.","    AR","33643235949","41332","339","339","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007232","5430","2010","     FA","     A","154","71448","CENTRO DE DISTRIBUCION SUR SRL","    AR","30709531960","8866","73","73","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007234","5435","2010","     FA","     A","155","34001","VERONICA S.A.","    AR","30500979824","0","849","849","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007268","161","2010","     FA","     A","156","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","4868","40","40","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007274","169","2010","     FA","     A","157","73354","RANDSTAD ARGENTINA S A","    AR","30700480239","684518","5,611.00","5,611.00","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007275","169","2010","     FA","     A","158","73354","RANDSTAD ARGENTINA S A","    AR","30700480239","205331","1,683.00","1,683.00","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007281","9509","2010","     FA","     A","159","34012","TTS VIAJES S.A.","    AR","30521151818","9151","91","91","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007282","163","2010","     FA","     A","160","34012","TTS VIAJES S.A.","    AR","30521151818","23851","214","214","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007286","169","2010","     FA","     A","161","73354","RANDSTAD ARGENTINA S A","    AR","30700480239","493637","4,046.00","4,046.00","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007288","169","2010","     FA","     A","162","73354","RANDSTAD ARGENTINA S A","    AR","30700480239","116514","955","955","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007289","169","2010","     FA","     A","163","73354","RANDSTAD ARGENTINA S A","    AR","30700480239","165149","1,354.00","1,354.00","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007299","9509","2010","     FA","     A","164","40240","MAILCAR SRL","    AR","30705463367","8495","74","74","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007300","9509","2010","     FA","     A","165","40240","MAILCAR SRL","    AR","30705463367","129654","1,147.00","1,147.00","0","0","0","0","0"," ARS"
